iter	Passed	Remaining
0	0	66
1	1	60
2	1	57
3	2	53
4	2	53
5	3	52
6	3	51
7	4	50
8	4	49
9	5	49
10	6	49
11	6	48
12	7	49
13	7	48
14	8	47
15	8	47
16	9	46
17	10	45
18	10	45
19	11	44
20	11	44
21	12	43
22	12	42
23	13	42
24	13	41
25	14	41
26	15	40
27	15	40
28	16	39
29	16	38
30	17	38
31	17	37
32	18	37
33	19	37
34	19	36
35	20	36
36	21	36
37	22	35
38	22	35
39	23	35
40	24	35
41	24	34
42	25	33
43	26	33
44	26	32
45	27	32
46	28	31
47	28	31
48	29	30
49	29	29
50	30	29
51	31	28
52	31	28
53	32	27
54	32	26
55	33	26
56	33	25
57	34	25
58	35	24
59	35	23
60	36	23
61	36	22
62	37	21
63	37	21
64	38	20
65	38	20
66	39	19
67	39	18
68	40	18
69	41	17
70	42	17
71	42	16
72	43	16
73	43	15
74	44	14
75	44	14
76	45	13
77	46	12
78	46	12
79	47	11
80	47	11
81	48	10
82	48	9
83	49	9
84	49	8
85	50	8
86	50	7
87	51	7
88	52	6
89	52	5
90	53	5
91	53	4
92	54	4
93	55	3
94	55	2
95	56	2
96	56	1
97	57	1
98	57	0
99	58	0
