iter	Passed	Remaining
0	153	153505
1	154	77080
2	155	51586
3	155	38838
4	156	31183
5	157	26061
6	157	22402
7	158	19658
8	159	17604
9	160	15905
10	161	14504
11	161	13331
12	162	12338
13	163	11487
14	163	10749
15	164	10103
16	164	9533
17	165	9027
18	166	8573
19	166	8166
20	167	7797
21	167	7463
22	168	7157
23	169	6875
24	169	6616
25	170	6377
26	171	6184
27	172	5987
28	173	5795
29	173	5617
30	174	5448
31	174	5291
32	175	5143
33	176	5003
34	176	4871
35	177	4747
36	177	4629
37	178	4518
38	179	4412
39	179	4311
40	180	4215
41	180	4124
42	181	4037
43	182	3955
44	183	3894
45	184	3821
46	184	3747
47	185	3677
48	186	3610
49	186	3545
50	187	3483
51	187	3425
52	188	3367
53	189	3312
54	189	3258
55	190	3207
56	190	3157
57	191	3109
58	192	3063
59	192	3018
60	193	2974
61	193	2932
62	195	2904
63	196	2867
64	196	2828
65	197	2791
66	197	2755
67	198	2719
68	199	2685
69	199	2652
70	200	2619
71	200	2588
72	201	2557
73	202	2528
74	202	2499
75	203	2471
76	203	2443
77	204	2416
78	205	2389
79	205	2364
80	206	2347
81	207	2324
82	208	2298
83	208	2275
84	209	2252
85	209	2230
86	210	2208
87	211	2187
88	211	2166
89	212	2146
90	212	2126
91	213	2106
92	214	2087
93	214	2069
94	215	2050
95	215	2033
96	216	2016
97	217	1999
98	217	1981
99	218	1970
100	220	1958
101	220	1942
102	221	1929
103	222	1914
104	222	1899
105	223	1883
106	223	1869
107	224	1854
108	225	1840
109	225	1826
110	226	1812
111	226	1799
112	227	1785
113	228	1772
114	228	1760
115	229	1747
116	230	1740
117	231	1729
118	232	1717
119	232	1705
120	233	1694
121	233	1681
122	234	1670
123	234	1659
124	235	1648
125	236	1637
126	236	1626
127	237	1615
128	237	1605
129	238	1595
130	238	1584
131	239	1574
132	240	1565
133	240	1555
134	241	1545
135	242	1540
136	243	1532
137	243	1523
138	244	1514
139	245	1505
140	245	1496
141	246	1486
142	246	1478
143	247	1469
144	247	1461
145	248	1453
146	249	1445
147	249	1437
148	250	1429
149	250	1421
150	251	1413
151	252	1406
152	252	1398
153	253	1393
154	254	1388
155	255	1381
156	256	1374
157	256	1367
158	257	1360
159	257	1353
160	258	1345
161	258	1338
162	259	1332
163	259	1325
164	260	1318
165	261	1312
166	261	1305
167	262	1299
168	262	1293
169	263	1286
170	264	1280
171	264	1275
172	266	1272
173	266	1267
174	267	1261
175	268	1255
176	268	1249
177	269	1243
178	269	1238
179	270	1232
180	271	1226
181	271	1221
182	272	1215
183	272	1210
184	273	1204
185	274	1199
186	274	1194
187	275	1188
188	275	1183
189	276	1178
190	277	1176
191	278	1172
192	279	1167
193	280	1163
194	280	1158
195	281	1154
196	281	1149
197	282	1144
198	283	1140
199	283	1135
200	284	1130
201	285	1126
202	285	1121
203	286	1116
204	286	1112
205	287	1107
206	288	1103
207	289	1102
208	290	1098
209	290	1094
210	291	1089
211	292	1085
212	292	1081
213	293	1077
214	293	1073
215	294	1068
216	295	1064
217	295	1060
218	296	1056
219	296	1052
220	297	1049
221	298	1045
222	299	1041
223	299	1037
224	300	1033
225	301	1032
226	302	1029
227	303	1025
228	303	1022
229	304	1018
230	304	1014
231	305	1011
232	306	1007
233	306	1003
234	307	1000
235	307	996
236	308	993
237	308	989
238	309	985
239	310	982
240	310	978
241	311	974
242	311	971
243	313	970
244	314	967
245	314	964
246	315	961
247	316	958
248	316	955
249	317	951
250	317	948
251	318	944
252	318	941
253	319	938
254	319	934
255	320	931
256	321	928
257	321	924
258	322	921
259	322	918
260	323	915
261	323	911
262	324	910
263	325	907
264	326	904
265	326	901
266	327	898
267	327	895
268	328	892
269	328	889
270	329	886
271	329	882
272	330	879
273	330	876
274	331	873
275	331	870
276	332	867
277	332	864
278	333	861
279	333	858
280	334	855
281	334	852
282	335	850
283	336	848
284	337	846
285	337	843
286	338	840
287	338	837
288	339	834
289	339	832
290	340	829
291	340	826
292	341	823
293	341	820
294	342	818
295	342	815
296	343	812
297	343	809
298	344	807
299	344	804
300	345	801
301	345	799
302	346	796
303	346	793
304	347	792
305	348	790
306	349	788
307	349	785
308	350	783
309	350	780
310	351	778
311	351	775
312	352	772
313	352	770
314	353	767
315	353	765
316	354	763
317	354	760
318	355	758
319	355	755
320	356	753
321	356	750
322	357	748
323	357	746
324	358	743
325	358	741
326	359	740
327	360	738
328	361	736
329	361	734
330	362	731
331	362	729
332	362	727
333	363	724
334	363	722
335	364	720
336	364	717
337	365	715
338	365	713
339	366	711
340	366	708
341	367	706
342	367	704
343	368	702
344	368	700
345	369	697
346	369	695
347	370	693
348	371	692
349	371	690
350	372	688
351	372	686
352	373	683
353	373	681
354	374	679
355	374	677
356	375	675
357	375	673
358	376	671
359	376	669
360	377	667
361	377	665
362	378	663
363	378	661
364	378	659
365	379	657
366	379	655
367	380	653
368	381	651
369	381	650
370	383	650
371	384	649
372	385	648
373	386	646
374	386	644
375	387	642
376	387	640
377	387	638
378	388	636
379	389	634
380	389	632
381	389	630
382	390	629
383	390	627
384	391	625
385	391	623
386	392	621
387	392	619
388	393	617
389	393	616
390	395	615
391	396	614
392	396	612
393	397	610
394	397	609
395	398	607
396	398	605
397	399	603
398	399	601
399	400	600
400	400	598
401	401	596
402	401	594
403	401	593
404	402	591
405	402	589
406	403	587
407	403	586
408	404	584
409	404	582
410	405	580
411	406	579
412	407	578
413	407	577
414	408	575
415	409	574
416	409	572
417	410	571
418	410	569
419	411	568
420	412	566
421	412	565
422	413	563
423	413	562
424	414	560
425	414	558
426	415	557
427	415	555
428	416	553
429	416	552
430	417	550
431	418	550
432	419	548
433	419	547
434	420	545
435	420	543
436	421	542
437	421	540
438	422	539
439	422	537
440	422	536
441	423	534
442	424	533
443	424	531
444	425	530
445	425	528
446	426	527
447	426	525
448	426	523
449	427	522
450	427	520
451	428	519
452	428	517
453	429	516
454	430	515
455	430	514
456	431	512
457	432	511
458	432	509
459	433	508
460	433	506
461	434	505
462	434	503
463	435	502
464	435	501
465	436	499
466	436	498
467	437	496
468	437	495
469	438	493
470	438	492
471	439	491
472	439	489
473	440	488
474	440	486
475	441	486
476	442	484
477	442	483
478	443	482
479	443	480
480	444	479
481	444	478
482	445	476
483	445	475
484	446	474
485	446	472
486	447	471
487	447	469
488	448	468
489	448	467
490	449	465
491	449	464
492	450	463
493	450	461
494	451	460
495	451	459
496	452	457
497	452	456
498	453	455
499	454	454
500	455	453
501	455	451
502	455	450
503	456	449
504	456	447
505	457	446
506	457	445
507	458	443
508	458	442
509	459	441
510	459	440
511	460	438
512	460	437
513	461	436
514	461	435
515	462	433
516	462	432
517	463	431
518	463	429
519	464	428
520	465	428
521	466	426
522	466	425
523	467	424
524	467	423
525	468	422
526	468	420
527	469	419
528	469	418
529	470	417
530	470	415
531	471	414
532	471	413
533	472	412
534	472	410
535	473	409
536	473	408
537	474	407
538	474	406
539	475	404
540	475	403
541	476	402
542	477	401
543	478	400
544	478	399
545	479	398
546	479	397
547	480	396
548	480	395
